Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Latitude [deg],Longitude [deg],Altitude [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
58,6378136.2091381,446.229390998811,168.299082303158,0.00152204571639306,0.00400854731207837,-0.773016864494033,-0.0239710306600245,-3.47898045641592,1.8046737617148,1.80467440432727,-3.47897877083198,0.024166487603313,0,-0.0028929093970035,-63.5280149145767
59,6378138.80815618,439.218594846918,171.242469788134,0.00154866418243935,0.00394556664342817,1.8255934453769,-0.168039185188211,-3.76334451964152,1.81257480483016,1.81257935315253,-3.76333293901434,0.168249347798202,0,-0.0028272625159686,-62.9954658238356
60,6378140.77648674,435.879183153933,171.894291385486,0.00155455857338697,0.00391556699806928,3.79371256646275,-0.122372311778781,-3.6692257267108,1.8394464034952,1.83944972984743,-3.6692173552756,0.122573156467785,0,-0.00275320699283471,-62.3040051434938
61,6378134.92919969,438.552239437218,175.042066960844,0.00158302753884584,0.00393958306857547,-2.05330504465926,0.0392153239798987,-3.01804222647157,1.78756787705933,1.78756679862868,-3.0180449157318,-0.0390571960146088,0,-0.00266990623902685,-61.4428775351733
62,6378139.81661758,428.222714786184,175.296442394652,0.00158532681056008,0.00384678839245461,2.8334179813227,-0.183955709082744,-3.16543412632912,1.91267377340406,1.91267886845453,-3.16542176856979,0.184115310968188,0,-0.00257637665065667,-60.4003555106195
63,6378135.55531644,428.55104457209,177.451648426177,0.00160481890676849,0.00384974039983927,-1.4278010955656,-0.144587096362618,-2.87085978445485,2.11490449864534,2.11490855301263,-2.87085006307418,0.144720753750167,0,-0.00247149191784327,-59.1639733875484
64,6378136.53520123,425.628864956453,181.034811094258,0.0016372236903669,0.00382348942048465,-0.448010602930487,-0.0559743984492842,-2.96101513952351,1.94772278285283,1.94772438716923,-2.9610113976201,0.056116338113666,0,-0.00235399942505255,-57.7209088514815
65,6378137.18474477,420.063149777386,181.690748441321,0.00164315561956979,0.00377349136264789,0.201182728826672,-0.191515462489496,-2.87976432048153,1.7939182588721,1.7939237559451,-2.87975170105666,0.191653675996088,0,-0.00222255490988152,-56.0585611286393
66,6378135.60898426,419.573498829755,183.955669864684,0.00166363929073405,0.0037690936846722,-1.37454464722902,-0.053605010536856,-2.80247333566762,1.92854405309426,1.92854561410841,-2.8024698033004,0.0537333685939585,0,-0.00207578284871319,-54.1653772569575
67,6378137.84327898,418.061408589106,186.155422264357,0.00168353259061619,0.00375550902845221,0.859715029417065,-0.0445609336223987,-2.50769071154346,1.83405663019348,1.83405794357366,-2.50768778536575,0.0446714121681931,0,-0.00191237048538846,-52.0319700247126
68,6378138.12900118,413.700467264834,187.427793686698,0.00169503945145939,0.00371633386486977,1.14519039078463,0.165834327052777,-2.38808810656915,2.21280294562194,2.21279804319014,-2.38809885793524,-0.165744893440202,0,-0.00173120191072011,-49.6525449674304
